City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
tuktoyaktuk,CA,69.4541,-24.5,100,91,5.01,1647859737
qaanaaq,GL,77.484,-6.3,93,100,10.83,1647859737
albany,US,42.6001,36.68,80,46,1.01,1647859572
nouadhibou,MR,20.931,66.18,59,0,24.16,1647859739
port elizabeth,ZA,-33.918,87.1,59,20,6.91,1647859740
barrow,US,71.2906,-25.58,68,0,17.27,1647859740
rikitea,PF,-23.1203,79.88,67,5,14.2,1647859742
wattegama,LK,6.7989,90.64,51,31,8.41,1647859743
yarada,IN,17.65,89.92,62,40,6.91,1647859744
ushuaia,AR,-54.8,46.06,61,40,3.44,1647859473
punta arenas,CL,-53.15,42.91,87,0,8.05,1647859745
san patricio,US,28.017,72.9,92,100,16.8,1647859746
mahebourg,MU,-20.4081,87.26,83,40,6.91,1647859747
tommot,RU,58.9564,22.62,96,100,5.46,1647859747
bluff,NZ,-46.6,57.45,89,23,12.84,1647859748
mataura,NZ,-46.1927,56.8,85,65,6.96,1647859749
saint-augustin,CA,51.226,25.92,96,100,18.92,1647859750
jamestown,US,42.097,37.71,66,0,3.44,1647859751
kumluca,TR,36.3703,52.05,40,20,7.7,1647859751
zhezkazgan,KZ,47.8043,28.38,54,0,20.13,1647859752
tigil,RU,57.8,31.1,82,100,9.13,1647859753
lincoln,US,40.8,63.12,39,0,17.27,1647859500
longhua,CN,23.6137,78.24,75,71,3.02,1647859754
mahenge,TZ,-8.6833,73.29,82,95,1.52,1647859755
ca mau,VN,9.1769,84.54,65,99,3.85,1647859757
turan,VN,16.0678,80.58,78,75,2.3,1647859529
soloneshnoye,RU,51.6544,30.09,73,49,4.94,1647859758
georgetown,MY,5.4112,87.75,62,20,5.01,1647859759
longyearbyen,SJ,78.2186,26.44,86,75,14.97,1647859759
puerto ayora,EC,-0.7393,74.55,100,28,3.96,1647859760
butaritari,KI,3.0707,81.36,78,68,18.01,1647859761
moose factory,CA,51.2585,15.8,79,100,8.05,1647859762
nea ankhialos,GR,39.2833,45.9,46,75,8.05,1647859763
busselton,AU,-33.65,65.08,72,0,21.56,1647859764
palmer,US,42.1584,41.63,64,0,6.91,1647859764
yellowknife,CA,62.456,28.42,94,100,4.61,1647859766
talaya,RU,61.3833,11.44,96,100,5.03,1647859767
hilo,US,19.7297,72.63,83,100,5.99,1647859768
dunhua,CN,43.3725,24.85,88,64,6.55,1647859769
bilma,NE,18.6853,92.61,5,56,3.15,1647859770
hofn,IS,64.2539,37.42,87,75,6.91,1647859770
toowoomba,AU,-27.55,63.34,83,0,6.26,1647859771
provideniya,RU,64.3833,4.26,88,28,2.95,1647859772
feijo,BR,-8.1642,71.04,100,99,1.97,1647859773
sinnamary,GF,5.3833,77.2,85,100,12.46,1647859773
matli,PK,25.0431,97.47,7,0,14.54,1647859774
murdochville,CA,48.9583,22.08,95,99,7.18,1647859775
santa cruz,BO,-17.8,68.05,94,40,4.61,1647859495
luderitz,NA,-26.6481,81.9,54,1,12.46,1647859776
riwaka,NZ,-41.0833,64.0,97,100,3.65,1647859777
maceio,BR,-9.6658,78.24,94,40,4.61,1647859778
sobolevo,RU,54.4299,36.32,99,62,7.45,1647859779
mar del plata,AR,-38.0023,65.08,76,100,28.99,1647859780
victoria,HK,22.2855,79.18,89,65,11.99,1647859777
amapa,BR,1.0,72.34,99,100,2.21,1647859782
lagoa,PT,39.05,54.32,62,100,27.49,1647859783
lumby,CA,50.2498,39.79,90,100,8.05,1647859784
pakxan,LA,18.3778,79.68,74,56,4.45,1647859784
ilulissat,GL,69.2167,-5.78,49,0,8.05,1647859785
praya,CV,14.9215,72.14,60,40,17.27,1647859721
chelno-vershiny,RU,54.4333,31.1,82,81,15.32,1647859786
avarua,CK,-21.2078,80.65,83,20,6.91,1647859787
bredasdorp,ZA,-34.5322,78.58,57,14,14.72,1647859754
ust-kuyga,RU,70.0167,-13.45,97,5,1.61,1647859789
nago,JP,26.5881,72.45,81,92,13.44,1647859789
