City_ID,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
0,tuktoyaktuk,CA,-24.5,100,91,5.01,69.4541,-133.0374,1647859737
1,qaanaaq,GL,-6.3,93,100,10.83,77.484,-69.3632,1647859737
2,albany,US,36.68,80,46,1.01,42.6001,-73.9662,1647859572
3,nouadhibou,MR,66.18,59,0,24.16,20.931,-17.0347,1647859739
4,port elizabeth,ZA,87.1,59,20,6.91,-33.918,25.5701,1647859740
5,barrow,US,-25.58,68,0,17.27,71.2906,-156.7887,1647859740
6,rikitea,PF,79.88,67,5,14.2,-23.1203,-134.9692,1647859742
7,wattegama,LK,90.64,51,31,8.41,6.7989,81.4808,1647859743
8,yarada,IN,89.92,62,40,6.91,17.65,83.2667,1647859744
9,ushuaia,AR,46.06,61,40,3.44,-54.8,-68.3,1647859473
10,punta arenas,CL,42.91,87,0,8.05,-53.15,-70.9167,1647859745
11,san patricio,US,72.9,92,100,16.8,28.017,-97.5169,1647859746
12,mahebourg,MU,87.26,83,40,6.91,-20.4081,57.7,1647859747
13,tommot,RU,22.62,96,100,5.46,58.9564,126.2925,1647859747
14,bluff,NZ,57.45,89,23,12.84,-46.6,168.3333,1647859748
15,mataura,NZ,56.8,85,65,6.96,-46.1927,168.8643,1647859749
16,saint-augustin,CA,25.92,96,100,18.92,51.226,-58.6502,1647859750
17,jamestown,US,37.71,66,0,3.44,42.097,-79.2353,1647859751
18,kumluca,TR,52.05,40,20,7.7,36.3703,30.2869,1647859751
19,zhezkazgan,KZ,28.38,54,0,20.13,47.8043,67.7144,1647859752
20,tigil,RU,31.1,82,100,9.13,57.8,158.6667,1647859753
21,lincoln,US,63.12,39,0,17.27,40.8,-96.667,1647859500
22,longhua,CN,78.24,75,71,3.02,23.6137,114.1919,1647859754
23,mahenge,TZ,73.29,82,95,1.52,-8.6833,36.7167,1647859755
24,ca mau,VN,84.54,65,99,3.85,9.1769,105.15,1647859757
25,turan,VN,80.58,78,75,2.3,16.0678,108.2208,1647859529
26,soloneshnoye,RU,30.09,73,49,4.94,51.6544,84.3197,1647859758
27,georgetown,MY,87.75,62,20,5.01,5.4112,100.3354,1647859759
28,longyearbyen,SJ,26.44,86,75,14.97,78.2186,15.6401,1647859759
29,puerto ayora,EC,74.55,100,28,3.96,-0.7393,-90.3518,1647859760
30,butaritari,KI,81.36,78,68,18.01,3.0707,172.7902,1647859761
31,moose factory,CA,15.8,79,100,8.05,51.2585,-80.6094,1647859762
32,nea ankhialos,GR,45.9,46,75,8.05,39.2833,22.8167,1647859763
33,busselton,AU,65.08,72,0,21.56,-33.65,115.3333,1647859764
34,palmer,US,41.63,64,0,6.91,42.1584,-72.3287,1647859764
35,yellowknife,CA,28.42,94,100,4.61,62.456,-114.3525,1647859766
36,talaya,RU,11.44,96,100,5.03,61.3833,152.75,1647859767
37,hilo,US,72.63,83,100,5.99,19.7297,-155.09,1647859768
38,dunhua,CN,24.85,88,64,6.55,43.3725,128.2425,1647859769
39,bilma,NE,92.61,5,56,3.15,18.6853,12.9164,1647859770
40,hofn,IS,37.42,87,75,6.91,64.2539,-15.2082,1647859770
41,toowoomba,AU,63.34,83,0,6.26,-27.55,151.9667,1647859771
42,provideniya,RU,4.26,88,28,2.95,64.3833,-173.3,1647859772
43,feijo,BR,71.04,100,99,1.97,-8.1642,-70.3536,1647859773
44,sinnamary,GF,77.2,85,100,12.46,5.3833,-52.95,1647859773
45,matli,PK,97.47,7,0,14.54,25.0431,68.6557,1647859774
46,murdochville,CA,22.08,95,99,7.18,48.9583,-65.5006,1647859775
47,santa cruz,BO,68.05,94,40,4.61,-17.8,-63.1667,1647859495
48,luderitz,NA,81.9,54,1,12.46,-26.6481,15.1594,1647859776
49,riwaka,NZ,64.0,97,100,3.65,-41.0833,173.0,1647859777
50,maceio,BR,78.24,94,40,4.61,-9.6658,-35.7353,1647859778
51,sobolevo,RU,36.32,99,62,7.45,54.4299,31.8996,1647859779
52,mar del plata,AR,65.08,76,100,28.99,-38.0023,-57.5575,1647859780
53,victoria,HK,79.18,89,65,11.99,22.2855,114.1577,1647859777
54,amapa,BR,72.34,99,100,2.21,1.0,-52.0,1647859782
55,lagoa,PT,54.32,62,100,27.49,39.05,-27.9833,1647859783
56,lumby,CA,39.79,90,100,8.05,50.2498,-118.969,1647859784
57,pakxan,LA,79.68,74,56,4.45,18.3778,103.6601,1647859784
58,ilulissat,GL,-5.78,49,0,8.05,69.2167,-51.1,1647859785
59,praya,CV,72.14,60,40,17.27,14.9215,-23.5087,1647859721
60,chelno-vershiny,RU,31.1,82,81,15.32,54.4333,51.1,1647859786
61,avarua,CK,80.65,83,20,6.91,-21.2078,-159.775,1647859787
62,bredasdorp,ZA,78.58,57,14,14.72,-34.5322,20.0403,1647859754
63,ust-kuyga,RU,-13.45,97,5,1.61,70.0167,135.6,1647859789
64,nago,JP,72.45,81,92,13.44,26.5881,127.9761,1647859789
65,kavieng,PG,83.25,74,99,8.03,-2.5744,150.7967,1647859790
66,yulara,AU,91.24,16,1,9.22,-25.2406,130.9889,1647859791
67,puerto cabezas,NI,74.44,88,85,9.89,14.0351,-83.3888,1647859792
68,cape town,ZA,85.12,49,0,11.5,-33.9258,18.4232,1647859792
69,mayo,US,47.1,66,0,5.75,38.8876,-76.5119,1647859793
70,norman wells,CA,-3.96,77,100,16.11,65.282,-126.8329,1647859794
71,aklavik,CA,-10.68,96,100,5.32,68.2191,-135.0107,1647859795
72,port alfred,ZA,80.04,65,1,14.67,-33.5906,26.891,1647859796
73,faanui,PF,81.16,74,30,17.49,-16.4833,-151.75,1647859797
74,hithadhoo,MV,83.44,73,52,16.64,-0.6,73.0833,1647859798
75,tutoia,BR,78.53,87,97,7.36,-2.7619,-42.2744,1647859799
